Chr	Start	Stop	Class	Ratio
chr4	105781843	106931843	right	0
chr4	113881844	114565844	left	0
chr4	114565844	115471844	right	0
chr4	122243845	123472845	left	0
chr4	123472845	124668845	right	0
chr4	127071845	128169845	left	0
chr4	128169845	129416845	right	0
chr4	138690846	139921846	left	0
chr4	139921846	141189846	right	0
chr4	146809848	147662849	left	0
chr4	147662849	148451848	right	0
chr4	149474848	151269848	left	0
chr4	151269848	152032848	right	0
chr4	152032848	152971848	left	0
chr4	152971848	154324848	right	0
chr4	158941848	159831848	right	0
chr4	167349849	169003849	left	0
chr4	169003849	170446849	right	0
chr4	182338847	183350847	left	0
chr4	183350847	183940847	right	0
chr4	183940847	184630846	left	0
chr4	184630846	186082846	right	0
chr4	186082846	186835846	left	0
chr4	186835846	187743846	right	0
chr5	761885	2507886	right	0
chr5	9536888	10345888	left	0
chr5	10345888	11174888	right	0
chr5	13333888	14826891	left	0
chr5	14826891	15727891	right	0
chr5	15727891	16788891	left	0
chr5	16788891	17843891	right	0
chr5	31330893	32257894	left	0
chr5	32257894	33184894	right	0
chr5	35718898	36600898	left	0
chr5	37208898	38348898	right	0
chr5	39916898	40692898	left	0
chr5	40692898	41448898	right	0
chr5	42329898	43379898	left	0
chr5	43379898	44227898	right	0
chr5	53828170	54904172	left	0
chr5	56674173	57402173	left	0
chr5	57402173	58995173	right	0
chr5	64236173	65963172	left	0
chr5	65963172	66616172	right	0
chr5	66616172	67071172	left	0
chr5	68708173	69558173	left	0
chr5	71653173	72361173	right	0
chr5	72361173	73406173	left	0
chr5	76040175	76669175	left	0
chr5	76669175	77630175	right	0
chr5	77630175	78668177	left	0
chr5	78668177	79490177	right	0
chr5	79490177	80252181	left	0
chr5	80252181	80945181	right	0
chr5	82556181	83082181	right	0
chr5	91235183	92063183	right	0
chr5	94853295	96700296	left	0
chr5	96700296	97822296	right	0
chr5	97822296	98984296	left	0
chr5	98984296	99890296	right	0
chr5	106286299	107346299	left	0
chr5	107346299	108184299	right	0
chr5	114525303	115375303	left	0
chr5	115375303	116426303	right	0
chr5	119359305	120190305	right	0
chr5	125580307	126395308	left	0
chr5	126395308	127122308	right	0
chr5	127122308	127939308	left	0
chr5	127939308	128847307	right	0
chr5	131334307	132802308	left	0
chr5	132802308	133533309	right	0
chr5	133533309	134465309	left	0
chr5	134465309	135598310	right	0
chr5	135598310	135957311	left	0
chr5	135957311	137031311	right	0
chr5	137031311	138409311	left	0
chr5	140305415	141097416	right	0
chr5	141097416	141991435	left	0
chr5	142142435	144347437	right	0
chr5	144702437	145941437	left	0
chr5	145941437	146953437	right	0
chr5	148246437	149133437	left	0
chr5	150084437	152520439	right	0
chr5	153411440	154653440	left	0
chr5	154653440	155626440	right	0
chr5	157883992	158646992	right	0
chr5	159415992	160292993	left	0
chr5	160292993	161434994	right	0
chr5	167450995	168512995	left	0
chr5	168512995	169789996	right	0
chr5	171277996	172459996	left	0
chr5	172459996	173584997	right	0
chr5	173584997	174438997	left	0
chr5	174438997	175480997	right	0
chr5	175480997	176608999	left	0
chr5	176608999	178882999	right	0
chr5	178882999	179655999	left	0
chr6	1277765	2055766	right	0
chr6	2055766	2839766	left	0
chr6	3907766	5577767	right	0
chr6	5863767	7231767	left	0
chr6	7231767	8664767	right	0
chr6	9823767	11235767	left	0
chr6	11235767	11870767	right	0
chr6	11870767	12414768	left	0
chr6	12414768	12979768	right	0
chr6	12979768	13683768	left	0
chr6	13683768	14586769	right	0
chr6	17055769	18035769	left	0
chr6	18035769	19149769	right	0
chr6	19597769	20370769	left	0
chr6	20370769	20840769	right	0
chr6	23873772	25124772	left	0
chr6	25124772	25944772	right	0
chr6	29161223	30259223	left	0
chr6	31800223	32583223	right	0
chr6	32583223	33546223	left	0
chr6	37055224	38420224	right	0
chr6	38420224	39081224	left	0
chr6	39081224	40225261	right	0
chr6	40225261	41781262	left	0
chr6	44172263	44969263	right	0
chr6	44969263	45622263	left	0
chr6	45622263	46271263	right	0
chr6	46271263	47245264	left	0
chr6	47245264	48335264	right	0
chr6	51512202	52658202	left	0
chr6	52658202	54622202	right	0
chr6	55672202	56607202	left	0
chr6	56607202	60543253	right	0
chr6	69557108	70406297	left	0
chr6	70406297	71365297	right	0
chr6	72524298	73552277	left	0
chr6	73552277	74370284	right	0
chr6	74694284	75757283	left	0
chr6	75757283	76594283	right	0
chr6	78411283	81790283	left	0
chr6	81790283	82789283	right	0
chr6	84621282	85410282	left	0
chr6	85410282	86415282	right	0
chr6	89249281	90067281	right	0
chr6	104599125	106106125	left	0
chr6	106649125	107544796	right	0
chr6	107993796	109054797	left	0
chr6	109054797	110142797	right	0
chr6	110968797	111668797	left	0
chr6	111668797	112731798	right	0
chr6	124395854	125963854	left	0
chr6	125963854	126911855	right	0
chr6	129006855	129701855	left	0
chr6	129701855	130351855	right	0
chr6	130351855	131074860	left	0
chr6	131074860	131988860	right	0
chr6	131988860	132643861	left	0
chr6	132643861	133352862	right	0
chr6	133352862	135225862	left	0
chr6	135225862	135941862	right	0
chr6	135941862	136911862	left	0
chr6	136911862	137552863	right	0
chr6	141391863	142488863	left	0
chr6	142488863	143131863	right	0
chr6	148877864	149706864	left	0
chr6	149706864	150363864	right	0
chr6	153801865	154914866	left	0
chr6	154914866	156101866	right	0
chr6	158703968	159668968	right	0
chr6	159668968	160180968	left	0
chr6	160180968	161124968	right	0
chr6	165525512	167475777	left	0
chr6	167769320	169376905	right	0
chr7	1443364	2099365	right	0
chr7	2099365	2627366	left	0
chr7	2627366	3950368	right	0
chr7	3950368	6330369	left	0
chr7	6330369	8793370	right	0
chr7	15580375	16998376	left	0
chr7	16998376	18946377	right	0
chr7	19230377	20235377	left	0
chr7	20235377	20919381	right	0
chr7	20919381	22394381	left	0
chr7	22837381	23435381	left	0
chr7	23435381	24268381	right	0
chr7	24268381	25050381	left	0
chr7	25050381	25651380	right	0
chr7	25651380	26031380	left	0
chr7	26031380	26616381	right	0
chr7	26616381	27648381	left	0
chr7	27648381	28337381	right	0
chr7	28337381	30787384	left	0
chr7	30787384	31901387	right	0
chr7	31901387	32938388	left	0
chr7	32938388	33638388	right	0
chr7	35280389	36213391	left	0
chr7	36213391	37279396	right	0
chr7	38897400	39622401	left	0
chr7	39622401	40559401	right	0
chr7	43082401	44169401	left	0
chr7	44703401	45652401	right	0
chr7	45652401	47719402	left	0
chr7	47719402	48750404	right	0
chr7	49785404	51020303	left	0
chr7	51020303	52329304	right	0
chr7	54263307	55042307	left	0
chr7	55547307	56634307	right	0
chr7	64493622	66862013	left	0
chr7	66862013	67938013	right	0
chr7	72030015	73520670	left	0
chr7	76292683	76957683	right	0
chr7	76957683	77496683	left	0
chr7	77496683	78559683	right	0
chr7	89552686	90244686	left	0
chr7	90244686	90960685	right	0
chr7	91359685	92682686	left	0
chr7	92682686	93679688	right	0
chr7	97416688	98389688	left	0
chr7	98389688	98732688	right	0
chr7	98732688	100530377	left	0
chr7	100530377	101995720	right	0
chr7	101995720	102478553	left	0
chr7	102478553	104021553	right	0
chr7	104021553	105122553	left	0
chr7	105122553	107180555	right	0
chr7	107180555	108070555	left	0
chr7	108070555	109080943	right	0
chr7	115515946	116723946	left	0
chr7	116723946	118421946	right	0
chr7	120693946	121423946	left	0
chr7	121423946	122428946	right	0
chr7	123805946	124560946	right	0
chr7	127053946	128689946	left	0
chr7	128689946	129302159	right	0
chr7	129302159	129851160	left	0
chr7	129851160	130478159	right	0
chr7	131020241	132111241	right	0
chr7	133744247	134428248	left	0
chr7	137412254	140121200	left	0
chr7	140121200	141349200	right	0
chr7	142949913	144685907	right	0
chr7	148100908	149080908	left	0
chr7	149080908	149842911	right	0
chr7	149842911	151268914	left	0
chr7	151268914	152545915	right	0
chr7	155504305	156352306	right	0
chr7	156352306	157196306	left	0
chr7	157196306	158078308	right	0
chr8	1140000	1869834	left	0
chr8	1869834	2797464	right	0
chr8	7506478	8805490	left	0
chr8	8805490	9965490	right	0
chr8	9965490	10646490	left	0
chr8	10646490	11132490	right	0
chr8	11132490	11710491	left	0
chr8	11710491	12939491	right	0
chr8	16199491	17852491	left	0
chr8	17852491	18575490	right	0
chr8	18575490	19242490	left	0
chr8	19242490	19975489	right	0
chr8	21189489	22169487	left	0
chr8	22642487	24082487	right	0
chr8	24552487	25167485	left	0
chr8	25167485	25685484	right	0
chr8	25685484	26320484	left	0
chr8	26320484	27043483	right	0
chr8	27043483	27652483	left	0
chr8	27652483	27968483	right	0
chr8	27968483	28471483	left	0
chr8	28471483	28861483	right	0
chr8	28861483	29451483	left	0
chr8	29451483	31380484	right	0
chr8	36453482	37735482	left	0
chr8	37735482	38504482	right	0
chr8	38504482	38752482	left	0
chr8	38752482	39619481	right	0
chr8	39619481	40122481	left	0
chr8	40122481	40849481	right	0
chr8	40849481	41956482	left	0
chr8	42298482	43758857	right	0
chr8	46614378	47912440	left	0
chr8	47912440	49384441	right	0
chr8	51417440	52343440	left	0
chr8	52343440	53237440	right	0
chr8	55061440	55916441	left	0
chr8	55916441	56605441	right	0
chr8	60021441	61776441	left	0
chr8	61776441	62688441	right	0
chr8	65069765	66540765	left	0
chr8	66540765	67715765	right	0
chr8	72601765	73429765	left	0
chr8	79245765	80122765	left	0
chr8	80122765	80764765	right	0
chr8	89114771	89819772	left	0
chr8	93013772	94059772	left	0
chr8	94975772	95947772	right	0
chr8	97167772	97897772	left	0
chr8	97897772	98378772	right	0
chr8	98378772	98895772	left	0
chr8	98895772	99553772	right	0
chr8	99553772	100656772	left	0
chr8	100656772	102007772	right	0
chr8	102007772	102804772	left	0
chr8	102804772	103787772	right	0
chr8	117189761	118134761	left	0
chr8	118134761	118401761	right	0
chr8	118401761	119004761	left	0
chr8	119004761	120329761	right	0
chr8	120329761	120887760	left	0
chr8	120887760	122186761	right	0
chr8	122186761	123621760	left	0
chr8	123621760	124747758	right	0
chr8	124747758	125449758	left	0
chr8	125449758	126237756	right	0
chr8	126237756	127487755	left	0
chr8	127487755	129165754	right	0
chr8	129165754	130095754	left	0
chr8	130095754	131260753	right	0
chr8	132188753	133639757	left	0
chr8	133639757	134333757	right	0
chr8	138616757	141204901	left	0
chr8	141867639	143686830	left	0
chr9	3087000	4828000	left	0
chr9	4828000	5417000	right	0
chr9	5417000	6503000	left	0
chr9	6503000	7546000	right	0
chr9	12056000	12849001	left	0
chr9	12849001	13573001	right	0
chr9	13573001	14314001	left	0
chr9	14314001	14839002	right	0
chr9	14839002	15394002	left	0
chr9	15394002	16067002	right	0
chr9	18350002	19203002	left	0
chr9	19203002	20093002	right	0
chr9	20093002	20667001	left	0
chr9	20667001	20939001	right	0
chr9	20939001	22001001	left	0
chr9	22001001	23005001	right	0
chr9	32025002	33098002	left	0
chr9	34522002	35044003	right	0
chr9	35044003	35728003	left	0
chr9	35728003	37040003	right	0
chr9	37040003	37547003	left	0
chr9	37547003	37750003	right	0
chr9	69079084	69990084	right	0
chr9	69990084	72238084	left	0
chr9	72238084	72761084	right	0
chr9	72904084	73088084	left	0
chr9	73088084	73890084	right	0
chr9	75302084	76459084	left	0
chr9	76459084	77454084	right	0
chr9	78194084	78796084	right	0
chr9	81616085	82190085	right	0
chr9	83379085	83947085	left	0
chr9	83947085	84588085	right	0
chr9	84588085	85077085	left	0
chr9	85077085	85548085	right	0
chr9	85548085	86122085	left	0
chr9	86122085	87020085	right	0
chr9	87020085	87487085	left	0
chr9	87487085	87968085	right	0
chr9	88797085	89525085	left	0
chr9	90259718	91142718	left	0
chr9	91142718	91738718	right	0
chr9	91738718	92904718	left	0
chr9	92904718	93778718	right	0
chr9	93778718	94677718	left	0
chr9	94677718	95732718	right	0
chr9	95732718	98023718	left	0
chr9	98023718	99454718	right	0
chr9	100503718	100922718	right	0
chr9	100922718	101410718	left	0
chr9	101410718	101955718	right	0
chr9	106465719	107312719	left	0
chr9	107312719	108452720	right	0
chr9	108452720	109283720	left	0
chr9	109283720	109737720	right	0
chr9	109737720	110200720	left	0
chr9	110200720	110893720	right	0
chr9	110893720	111772720	left	0
chr9	113075720	113482720	left	0
chr9	113482720	114140720	right	0
chr9	114140720	114695720	left	0
chr9	114695720	115874721	right	0
chr9	119787722	120776722	left	0
chr9	120776722	122440721	right	0
chr9	122440721	123424721	left	0
chr9	123424721	123632721	right	0
chr9	123632721	124207721	left	0
chr9	124207721	126106721	right	0
chr9	126106721	126815721	left	0
chr9	126815721	127017721	right	0
chr9	127017721	127577721	left	0
chr9	129665721	130181721	right	0
chr9	132396613	132601613	right	0
chr9	132601613	133247613	left	0
chr9	133247613	133778878	right	0
chr9	133778878	134176072	left	0
chr9	134845154	136447548	left	0
chr9	136447548	136993548	right	0
chr10	76060	854060	left	0
chr10	854060	1670806	right	0
chr10	2483808	3803808	left	0
chr10	3803808	4303808	right	0
chr10	4303808	6011037	left	0
chr10	6011037	7357038	right	0
chr10	10831037	11823001	left	0
chr10	11823001	12701001	right	0
chr10	12701001	13268000	left	0
chr10	13268000	13990000	right	0
chr10	13990000	14732001	left	0
chr10	14732001	15810001	right	0
chr10	16331001	17203001	left	0
chr10	20525071	21358071	left	0
chr10	21358071	21924071	right	0
chr10	23605071	24857071	left	0
chr10	24857071	25721071	right	0
chr10	29056071	29747071	left	0
chr10	29747071	30214071	right	0
chr10	30214071	30456071	left	0
chr10	30456071	31207071	right	0
chr10	31207071	32095072	left	0
chr10	32095072	32600072	right	0
chr10	32600072	33069072	left	0
chr10	33069072	34477072	right	0
chr10	34477072	34949072	left	0
chr10	34949072	35879072	right	0
chr10	42289552	43353552	left	0
chr10	43353552	44209552	right	0
chr10	59384242	59987242	left	0
chr10	59987242	60487242	right	0
chr10	60487242	60766242	left	0
chr10	60766242	61250242	right	0
chr10	61250242	61968241	left	0
chr10	61968241	62929240	right	0
chr10	62929240	63707240	left	0
chr10	63707240	64376240	right	0
chr10	67007242	69369244	left	0
chr10	69369244	69907244	right	0
chr10	69907244	70599244	left	0
chr10	70599244	71210243	right	0
chr10	71210243	71866242	left	0
chr10	71866242	72405242	right	0
chr10	73624242	74666242	right	0
chr10	74666242	75160242	left	0
chr10	75160242	76668242	right	0
chr10	76668242	77962242	left	0
chr10	77962242	78480243	right	0
chr10	78480243	79068243	left	0
chr10	79068243	79788244	right	0
chr10	79788244	80419244	left	0
chr10	80419244	81087244	right	0
chr10	83717244	84428244	left	0
chr10	84428244	85188244	right	0
chr10	85678243	86577243	left	0
chr10	86577243	88301243	right	0
chr10	88301243	89104243	left	0
chr10	89104243	90394243	right	0
chr10	91404243	93447243	left	0
chr10	93447243	94859243	right	0
chr10	94859243	95444243	left	0
chr10	95444243	95956243	right	0
chr10	97598243	98956243	right	0
chr10	98956243	99985243	left	0
chr10	99985243	100495243	right	0
chr10	100495243	100989243	left	0
chr10	100989243	101494243	right	0
chr10	101494243	102266243	left	0
chr10	104185242	105110242	right	0
chr10	109025242	110351242	left	0
chr10	110351242	111631242	right	0
chr10	111631242	112869241	left	0
chr10	112869241	113414241	right	0
chr10	113414241	114325241	left	0
chr10	114325241	115522490	right	0
chr10	116115489	117403489	left	0
chr10	117403489	118041489	right	0
chr10	118041489	119220488	left	0
chr10	119220488	120417488	right	0
chr10	120417488	121244486	left	0
chr10	121244486	121456486	right	0
chr10	121456486	122168485	left	0
chr10	122168485	123458484	right	0
chr10	124477431	126441431	right	0
chr10	127287736	127919736	left	0
chr10	127919736	128703736	right	0
chr10	132424496	132914496	right	0
chr11	1277770	1883770	right	0
chr11	1883770	2342770	left	0
chr11	2883770	3495770	right	0
chr11	3879770	4592770	right	0
chr11	5910770	6529770	left	0
chr11	6529770	7098769	right	0
chr11	8053453	9484453	left	0
chr11	9484453	10125453	right	0
chr11	10125453	10852453	left	0
chr11	10852453	11393453	right	0
chr11	11393453	13146453	left	0
chr11	13146453	13724453	right	0
chr11	16231454	17254453	left	0
chr11	17254453	17823453	right	0
chr11	17823453	18496453	left	0
chr11	18496453	19121453	right	0
chr11	26659453	27285453	left	0
chr11	27285453	28173453	right	0
chr11	32265454	33151454	left	0
chr11	33151454	35740452	right	0
chr11	35740452	36405450	left	0
chr11	36405450	37085450	right	0
chr11	43809450	44862449	left	0
chr11	44862449	45464450	right	0
chr11	45464450	46064449	left	0
chr11	47202449	47681448	left	0
chr11	47681448	48618448	right	0
chr11	56546524	57619527	left	0
chr11	57619527	58516527	right	0
chr11	58861527	59696527	left	0
chr11	59696527	60437527	right	0
chr11	60437527	61772528	left	0
chr11	62763528	63306528	right	0
chr11	63306528	64102528	left	0
chr11	64783528	65377529	right	0
chr11	65783529	66460529	left	0
chr11	67393529	67926529	right	0
chr11	68625532	69009532	left	0
chr11	70133894	70769895	right	0
chr11	70769895	71401954	left	0
chr11	75420956	76050956	right	0
chr11	76622956	76960956	left	0
chr11	76960956	77546955	right	0
chr11	82469958	83083958	left	0
chr11	83083958	83681957	right	0
chr11	85049956	85880957	left	0
chr11	85880957	86241958	right	0
chr11	86241958	86673958	left	0
chr11	86673958	87536108	right	0
chr11	92815834	94720834	left	0
chr11	94720834	95684836	right	0
chr11	95684836	96277836	left	0
chr11	101251269	102351269	left	0
chr11	102351269	103691272	right	0
chr11	107267274	108563273	left	0
chr11	108563273	109386274	right	0
chr11	110739277	111747276	left	0
chr11	111887276	112932277	right	0
chr11	112932277	113627278	left	0
chr11	113627278	114425278	right	0
chr11	115823282	116973284	left	0
chr11	116973284	117659285	right	0
chr11	117659285	118262285	left	0
chr11	118967290	119756291	right	0
chr11	119756291	120227291	left	0
chr11	120227291	121023291	right	0
chr11	121023291	121404291	left	0
chr11	121404291	121964292	right	0
chr11	121964292	122746292	left	0
chr11	122746292	124102293	right	0
chr11	124102293	124828104	left	0
chr11	124828104	125414104	right	0
chr11	125414104	126141105	left	0
chr11	126141105	126967104	right	0
chr11	127860105	129970105	left	0
chr11	129970105	131314105	right	0
chr12	564834	1163834	right	0
chr12	1163834	1700834	left	0
chr12	1700834	2374834	right	0
chr12	2374834	3005834	left	0
chr12	3005834	3846834	right	0
chr12	5039834	6814834	left	0
chr12	11056401	11773066	left	0
chr12	12457066	13997066	right	0
chr12	14926066	15713066	left	0
chr12	15713066	16859066	right	0
chr12	18466066	19094066	left	0
chr12	25373066	26224067	left	0
chr12	26224067	26488067	right	0
chr12	27464067	28384067	right	0
chr12	30167067	32668066	left	0
chr12	32668066	33699065	right	0
chr12	46386217	46807217	right	0
chr12	46807217	47833217	left	0
chr12	47833217	48356217	right	0
chr12	48356217	48981217	left	0
chr12	51135217	51629216	right	0
chr12	51629216	52163216	left	0
chr12	52163216	53199216	right	0
chr12	53942216	54341216	left	0
chr12	54341216	55014216	right	0
chr12	55014216	55924216	left	0
chr12	56738216	57457217	left	0
chr12	57457217	58573217	right	0
chr12	61797219	62655220	left	0
chr12	62655220	63428220	right	0
chr12	63428220	64580220	left	0
chr12	64580220	65186220	right	0
chr12	65186220	65616220	left	0
chr12	65616220	66782220	right	0
chr12	68081220	69498220	left	0
chr12	69656220	70371220	right	0
chr12	74867220	75688220	left	0
chr12	76105220	77600220	right	0
chr12	87610223	89227223	left	0
chr12	89227223	90562223	right	0
chr12	92196224	93243224	left	0
chr12	93243224	94290224	right	0
chr12	94290224	95588224	left	0
chr12	95588224	97048222	right	0
chr12	97848222	98588222	left	0
chr12	98588222	99244222	right	0
chr12	100885222	101674222	left	0
chr12	101674222	102340222	right	0
chr12	103163222	104239222	left	0
chr12	104239222	104759222	right	0
chr12	104759222	105257222	left	0
chr12	105257222	105851222	right	0
chr12	105851222	106309222	left	0
chr12	108006223	108838224	left	0
chr12	109278195	110317195	left	0
chr12	110317195	111035196	right	0
chr12	111035196	111745196	left	0
chr12	111882196	112692195	right	0
chr12	112692195	113137195	left	0
chr12	113137195	114114195	right	0
chr12	115888195	116574195	left	0
chr12	117131195	117780195	right	0
chr12	117780195	118003195	left	0
chr12	123306453	123854453	right	0
chr12	123854453	124396454	left	0
chr12	124396454	125770454	right	0
chr12	131240455	132062455	left	0
chr13	19115860	20156861	left	0
chr13	20578861	21172861	right	0
chr13	21172861	21415861	left	0
chr13	21415861	22320861	right	0
chr13	23094861	24151861	left	0
chr13	24151861	25047862	right	0
chr13	26410863	27131863	left	0
chr13	27131863	27529863	right	0
chr13	27529863	27952863	left	0
chr13	27952863	28608863	right	0
chr13	29130863	30752863	left	0
chr13	30752863	31542863	right	0
chr13	31542863	31996863	left	0
chr13	32219863	33348863	left	0
chr13	33348863	34032863	right	0
chr13	39404863	41246864	left	0
chr13	41246864	41654864	right	0
chr13	41654864	42010864	left	0
chr13	42010864	42637864	right	0
